Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,12,Europol,Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.,stimme nicht zu,"Europol hat bereits umfangreiche Befugnisse, die mit Datenschutz und Persönlichkeitsrechten in Konflikt stehen."
32,PDV,Partei der Vernunft,12,Europol,Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.,stimme nicht zu,Polizeiarbeit obliegt den Nationalstaaten; bei Bedarf werden Kooperationen aufgelegt.
33,PdF,Partei des Fortschritts,12,Europol,Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.,stimme zu,"Bedrohungen unserer inneren Sicherheit, insbesondere durch grenzübergreifende organisierte Kriminalität oder ausländische Geheimdienste, sind ein stärker werdendes Problem unserer Zeit. Dem stehen nationalstaatliche Sicherheitsbehörden oft hilflos gegenüber. Es fehlt bisher an einer obligatorischen und konsequenten Sicherheitsinfrastruktur zur Verknüpfung der einzelnen Sicherheitsbehörden der Mitgliedsstaaten."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",12,Europol,Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.,stimme zu,"Kriminalität beschränkt sich nicht auf Landesgrenzen und in einer immer stärker vernetzten Welt ist es nur folgerichtig, dass eine grenzüberschreitende Polizei mehr Befugnisse braucht. Im Kampf gegen die organisierte Kriminalität ist das besonders entscheidend."
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,Die EU-Verträge sehen keine ausdrückliche Kompetenz der EU für den öffentlich-rechtlichen Rundfunk vor. Daher liegt die Finanzierung des öffentlich-rechtlichen Rundfunks sowie seiner Mischformen (z.B. arte) in der Zuständigkeit der Mitgliedstaaten. Die öffentlich-rechtlichen Medien müssen unabhängig bleiben und von den Mitgliedstaaten vernünftig finanziert werden.
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Wir setzen uns für den Ausbau länderübergreifender und mehrsprachiger Angebote des öffentlich-rechtlichen Rundfunks (ÖRR) ein. Dafür wollen wir den erfolgreichen Ansatz des Senders ARTE ausbauen und ihn zu einem gemeinsamen europäischen Angebot weiterentwickeln. Zudem wollen wir, dass die Angebote des ÖRR in Europa vernetzt werden. So wollen wir ein europäisches öffentlich-rechtliches Medienangebot schaffen, mit einem länderübergreifenden Angebot von Nachrichten über Sport bis Unterhaltung."
3,SPD,Sozialdemokratische Partei Deutschlands,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Wir setzen uns für die Förderung europäischer und mehrsprachiger Angebote ein und werden weiterhin Gesetzgebung und Projekte unterstützen, die mediale Inhalte grenzübergreifend verfügbar machen. Es sollte aber dabei bleiben, dass öffentlich-rechtliche Angebote staatsfern zu finanzieren sind. Im Übrigen hat die EU hier keine Finanzierungskompetenz."
4,AfD,Alternative für Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Wir lehnen alle Versuche der EU ab, Kontrolle über Medienangebote an sich zu ziehen. Wir wollen eine Verschlankung des öffentlich-rechtlichen Rundfunks und die Abschaffung der Zwangsbeiträge und keinen Ausbau, auch nicht auf EU-Ebene."
5,DIE LINKE,DIE LINKE,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Öffentliche Medien sind für Demokratie, Information und gemeinsame Verständigung von Menschen mit unterschiedlichem Hintergrund wichtig sind. Wir wollen gemeinsame europäische Kultur stärken."
6,FDP,Freie Demokratische Partei,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Die Programmfreiheit der nationalen öffentlich-rechtlichen Rundfunkanstalten liegt ausschließlich in eigener Verantwortung der zuständigen Sendeanstalten. Zentrale Prinzipien des öffentlich-rechtlichen Rundfunks sind Unabhängigkeit und Staatsferne, welche durch Finanzmittelbereitstellung der EU unterlaufen würde. Wir begrüßen nationalstaatliche Grenzen überwindende mehrsprachige Angebote im Sinne einer europäischen Integration, wenn dies von den Sendern autonom und nicht von der EU ausgeht."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Wenn das der Weg ist, den „Beitragsservice“ von ARD und ZDF endlich auch Rumänen und Holländern zukommen zu lassen, dann unbedingt."
8,FREIE WÄHLER,FREIE WÄHLER,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Wir wollen die Angebote von ARTE, 3Sat etc. weiter ausbauen und stärker fördern."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Wir unterstützen eine stärkere finanzielle Förderung länderübergreifender, mehrsprachiger Angebote des öffentlich-rechtlichen Rundfunks durch die EU, um den kulturellen Austausch und das Verständnis innerhalb der Gemeinschaft zu fördern."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Im Sinne der Völkerverständigung und Stärkung der europäischen Identität und Demokratie ist die Aufwertung von länderübergreifenden, mehrsprachigen Angeboten des öffentlich-rechtlichen Rundfunks sinnvoll und erstrebenswert. Dies sollte aber auch in möglichst vielen Sprachen ausgeweitet werden."
11,FAMILIE,Familien-Partei Deutschlands,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Die nationalen Rundfunkanstalten sind nach nationalen Ermessen und Anspruch auszustatten. Ein europaweites Angebot zu fördern würde unter Umständen eine europaweite finanzielle Umlage nach sich ziehen. Wir von der Familien-Partei finden bereits die GEZ Gebühren in Deutschland schon viel zu hoch bei diesem mäßigen Angebot, diese Kosten belasten zunehmend die Haushaltskasse vieler Familien."
12,Volt,Volt Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Volt möchte europäische öffentlich-rechtliche Fernsehsender gründen. Diese Sender würden von den Erfahrungen von EBU, ARTE und 3sat lernen. Sie sollen Unterhaltung, Informationen und gute Beispiele zeigen und es einfacher machen, Inhalte zwischen verschiedenen Ländern auszutauschen."
13,PIRATEN,Piratenpartei Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Der öffentlich-rechtliche Rundfunk ist Teil der Gesellschaftsbildung und muss dahingehend auch mehrsprachig stattfinden, um allen Menschen ein würdevolles Leben in Freiheit und maximal möglicher gesellschaftlicher Teilhabe zu ermöglichen. Hierbei braucht es nicht nur Fremdsprachen, sondern auch wesentlich mehr Inklusion durch Gebärdensprache, wie Phoenix und ""Sendung mit der Maus"" schon sehr positiv zeigt."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Mehrsprachige, länderübergreifende Programme, wie z.B. „arte“, tragen zur interkulturellen Verständigung und dem Zusammenwachsen Europas bei. Sie sollten noch ausgebaut und ihre Finanzierung langfristig gesichert werden. Zudem sollte das Programm direkt über geloste Bürger:innenräte bestimmt werden."
15,HEIMAT,Die Heimat,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Die Ausgestaltung des öffentlichen Rundfunks, der in Deutschland dreist durch Zwangsgebühren finanziert wird, ist Sache der Nationalstaaten, nicht der EU."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Die EU sollte Angebote des öffentlich-rechtlichen Rundfunks überhaupt nicht finanziell fördern. Der öffentlich-rechtliche Rundfunk und sein Finanzierungsmodell stehen seit vielen Jahren in der Kritik. Wer in Deutschland den Beitrag für das Rundfunkangebot konsequent verweigert, wird in letzter Konsequenz inhaftiert. Das ist menschenunwürdig, dafür in Haft zu geraten. In Frankreich wird der Staatsfunk künftig aus dem Staatshaushalt finanziert."
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"1. Die finanzielle Unterstützung für mehrsprachige Angebote könnte dazu beitragen, die kulturelle Vielfalt innerhalb Europas zu bewahren u. zu fördern. 2. Mehrsprachige Angebote könnten dazu beitragen, die Integration von Minderheiten und Migrantengemeinschaften zu erleichtern, indem sie Informationen u. Inhalte in verschiedenen Sprachen bereitstellen. 3. Durch die Förderung mehrsprachiger Angebote könnte sichergestellt werden, dass alle, unabhängig von ihrer Muttersprache Zugang zu Infos haben"
19,Bündnis C,Bündnis C - Christen für Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Wir halten die nationalen Programme für ausreichend, um europäische Themen zu kommunizieren."
20,PdH,Partei der Humanisten,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Unser Ziel ist die Schaffung einer europäischen Rundfunkanstalt nach dem Vorbild der ARD, also ein Verbund autonomer regionaler Sendeanstalten. Daher sollten länderübergreifende, mehrsprachige Angebote des ÖRR wie Arte stärker gefördert werden. Dieser öffentlich-rechtliche Rundfunk soll ausschließlich einem Bildungs- und Informationsauftrag im Rahmen kritisch-neutraler Berichterstattung folgen und – im Gegensatz zum deutschen ÖRR – seine Hauptausgabe nicht der Unterhaltung widmen."
21,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",neutral,"Die MENSCHLICHE WELT ist dafür, dass die Massenmedien zum größten Teil von öffentlicher Hand, gemeinnützigen Organisationen oder Kooperativen betrieben werden. Mit dem offensichtlichen Zweck, der Bevölkerung zu dienen. Wir setzen uns für einen reformierten öffentlich-rechtlichen Rundfunk ein. Ebenso für die Aufhebung des Rundfunkbeitragszwangs. Unter diesen Umständen würden wir der These zustimmen."
22,DKP,Deutsche Kommunistische Partei,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Entsprechende Angebote können kulturelle Erfahrungen bereichern und dabei helfen, Ressentiments zwischen den Nationen abzubauen."
23,MLPD,Marxistisch-Leninistische Partei Deutschlands,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,Mehrsprachige Prozesse sind generell sinnvoll. Aber auch der öffentlich-rechtliche Rundfunk betreibt eine politische und weltanschauliche Manipulation.
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Der öffentliche Rundfunk, als Teil der öffentlichen Bildung, sollte ausgebaut, unter die demokratische Kontrolle der Arbeiter gestellt und durch die Enteignung der Medienkonzerne finanziert werden."
25,ABG,Aktion Bürger für Gerechtigkeit,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,Die Rolle der Medien und die Einflussnahme durch ihre Geldgeber muss genauer überprüft werden. Sie haben viel zu viel Macht und sind schon längst nicht mehr neutral und sollen deshalb keine Förderungen erhalten.
26,dieBasis,Basisdemokratische Partei Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Solche Angebote sind auch wegen des immensen Verwaltungs- und Koordinationsaufwands mit erheblichen finanziellen Belastungen verbunden. Es ist fraglich, ob angesichts der Anzahl der verschiedenen Amtssprachen überhaupt eine ""gerechte"" Verteilung der zu fördernden Sprachen möglich ist. Auch fehlt es an Untersuchungen, ob überhaupt ein Bedarf und in Folge einer Akzeptanz solcher Angebote zu erwarten ist. Wettbewerbsverzerrung und Verletzung des Subsidiaritätsprinzips sind weitere Kritikpunkte."
27,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Der ÖRR verschlingt bereits jetzt Milliardenbeträge. Bevor über eine weitere Förderung an sich sinnvoller länderübergreifender Angebote nachgedacht werden kann, muss der ÖRR zunächst auf ein Maß zurückgebaut werden, dass eine effiziente Verwendung der GEZ-Mittel sicherstellt."
28,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,Dies kann ein sinnvoller Beitrag zu einer europäischen Identität und Öffentlichkeit sein.
29,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",neutral,
30,KLIMALISTE,Klimaliste Deutschland,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Kandidatenmeinung: Für die Bewältigung globaler Krisen wie der Klimakrise kann eine verstärkte europäische Identifikation nützlich sein. Um diese zu stärken, ist es sinnvoll, den Kontakt mit und zwischen EU Mitgliedsstaaten zu erhöhen. Eine stärkere Förderung öffentlich-rechtlicher Rundfunkangebote könnte dabei helfen, nicht nur die mediale Zusammenarbeit zu erhöhen, sondern auch Konsumierenden ein vielfältigeres Angebot zu präsentieren."
31,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,"Die EU sollte sich für den Abbau von Grenzen einsetzen: auf dem Land und in den Köpfen - und damit auch in den Medien. Länderübergreifende, mehrsprachige öffentlich zugängliche Angebote leisten dazu einen wichtigen Beitrag und fördern die internationale Verständigung und Kooperation."
32,PDV,Partei der Vernunft,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme nicht zu,"Die PdV ist für die Privatisierung des ÖRR und die Abschaffung der Beitragspflicht, außerdem gegen Subventionen jeder Art."
33,PdF,Partei des Fortschritts,13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",neutral,"Sender, welche in mehreren europäischen Sprachen zum europäisch-kulturellen Austausch sowie Nachrichten beitragen, können eine europäische Identität stärken und Wissen verbreiten. Dabei sind Einblicke in andere EU-Staaten und deren Sichtweisen sehr spannend. Die Mehrsprachigkeit betrifft dabei nicht den deutschen öffentlich-rechtlichen Rundfunk. Kritik am Rundfunk soll auch in der Finanzierung von EU-weiten Förderprogrammen berücksichtigt werden."
34,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",13,Öffentlich-rechtlicher Rundfunk,"Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.",stimme zu,Die grenzübergreifende Kommunikation wird immer wichtiger und muss auch durch öffentlich-rechtliche Angebote gefördert werden.
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,Wir stehen zum Ziel der Klimaneutralität in Europa bis 2050. Der Klimaschutz und der Erhalt unserer natürlichen Lebensgrundlagen sind für uns nicht verhandelbar. Wir wollen unseren Kindern und Enkeln einen lebenswerten Planeten hinterlassen.
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Indem wir Europa zum ersten klimaneutralen Kontinent der Welt machen, sichern wir Investitionen in gute Jobs und faire Löhne, in saubere Infrastruktur und die Wettbewerbsfähigkeit unserer Unternehmen. Klimaneutralität ist kein Selbstzweck, sondern zentraler Standortvorteil unserer Zeit. Sie sichert unseren Wohlstand und unsere Zukunft. Wir wollen deshalb eine EU-Klimapolitik, die sich anhand klarer Zwischenziele an den wissenschaftlichen Empfehlungen des EU-Klimabeirates ausrichtet."
3,SPD,Sozialdemokratische Partei Deutschlands,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Wir stehen klar zum 1,5-Grad-Ziel des Pariser Abkommens. Für uns ist zweifelsfrei: Der Klimaschutz muss gelingen, weil er die Grundlage dafür ist, dass nachfolgende Generationen eine gute Lebensgrundlage haben. Ohne Klimaschutz ist Europas Zukunft nicht denkbar. Wir wissen auch, guter Klimaschutz kann zum Wohlstands- und Jobmotor werden. Es ist nicht der Klimaschutz, der langfristig teuer ist, sondern ein nicht eingedämmter Klimawandel."
4,AfD,Alternative für Deutschland,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme zu,"Die derzeitige Klimapolitik der EU ist eine völlige Fehlentwicklung. Das Dogma des menschengemachten Klimawandels dient der EU als Vorwand, um in alle Lebensbereiche reglementierend einzugreifen. EU-Programme wie der „Green Deal“ und „Fit for 55“ wirken sich zerstörerisch auf die europäische und insbesondere die deutsche Wirtschaft aus. Auf das Weltklima werden alle diese Maßnahmen absehbar keinen Einfluss haben."
5,DIE LINKE,DIE LINKE,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Wenn die EU nicht klimaneutral wird, bedroht das die Gesundheit und die Lebensqualität der Menschen – besonders von denen, die nicht das Geld haben, aus besonders belasteten Wohngebieten wegzuziehen. Die Kosten für den Klimaschutz müssen von denen getragen werden, die die meiste Verschmutzung verursachen: von den großen Konzernen und den Superreichen. Wer zu den Reichsten in der EU gehört, stößt mindestens 14 Mal so viel CO2 aus wie Menschen, die zur ärmeren Hälfte gehören."
6,FDP,Freie Demokratische Partei,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Wir Freie Demokraten bekennen uns zu den Zielen des Pariser Klimaabkommens. Damit die EU ihre Klimaziele garantiert und effizient erreicht, wurde der Emissionshandel mit seinem strikten CO2-Deckel eingeführt: Durch marktwirtschaftliche Anreize fördert er die Entwicklung und Anwendung klimaneutraler Technologien. Statt durch überflüssige Verbote ganze Industrien zu gefährden, stärken wir damit das europäische Unternehmertum und den Innovationsgeist."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"„Als wir das Ziel aus den Augen verloren hatten, verdoppelten wir unsere Anstrengungen.“ (Mark Twain)"
8,FREIE WÄHLER,FREIE WÄHLER,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Wir setzen uns für den Schutz der natürlichen Lebensgrundlagen im Sinne der Nachhaltigkeitsziele der Vereinten Nationen in Europa und für die Grundsätze des Pariser Klimaabkommens ein. Das beinhaltet eine langfristige und verantwortungsvolle Nutzung der natürlichen Ressourcen, ohne die Umwelt oder die Bedürfnisse zukünftiger Generationen zu schädigen."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,Der Klimawandel ist die wohl größte existenzielle Bedrohung der Menschheit. Daher muss Klimaneutralität oberstes Ziel bleiben.
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Klimaschutz schützt Mensch und Natur: Ziel der Klimaneutralität bis 2030 durch Beendigung der Nutzung fossiler Energieträger und anschließende Senkung des CO2-Gehalts der Atmosphäre von derzeit 420 auf den sicheren Wert von 350 ppm. Die Wetterextreme weltweit sollten uns mahnen. Wir brauchen daher die Priorisierung des Schutzes der Umwelt, der Bewahrung der Artenvielfalt und die Durchsetzung der Klimawende sowie die wirksame Überwachung der dazu nötigen Umsetzungsschritte dorthin."
11,FAMILIE,Familien-Partei Deutschlands,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",neutral,"Mit Vernunft und Augenmaß müssen wir alle zusammen der Klimaneutralität entgegensteuern. Das erreichen wir jedoch nicht durch plakative Politik und Verbote, wie es die Ökoparteien bevorzugen. Wir stehen für eine Realpolitik die an den Menschen ausgerichtet ist, mit dem Ziel unseren nächsten Generationen eine lebenswerte Welt zu hinterlassen. Klimapolitik muss global gedacht werden, unsere Familien-Partei ist bereit dazu."
12,Volt,Volt Deutschland,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,Die EU soll bis spätestens 2040 klimaneutral werden.
13,PIRATEN,Piratenpartei Deutschland,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Die Schäden durch den Klimawandel werden die (kurzfristigen) Kosten für die Transformation bei weitem übersteigen. Dazu kommt, dass eine nachhaltige Wirtschaft insgesamt weniger kostet."
14,MERA25,MERA25 - Gemeinsam für Europäische Unabhängigkeit,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"Wir sind bereits jetzt Zeugen eines Massensterbens auf Grund der Klimakrise: Der Boden verschlechtert sich, die Erde heizt sich auf, das Eis schmilzt, die Ozeane versauern und eine Spezies nach der anderen verschwindet vom Planeten, während immer mehr Treibhausgase in unsere Luft gepumpt werden. Große Teile des Planeten könnten innerhalb unserer Lebenszeit unbewohnbar werden, wenn wir unsere Lebensweise nicht schnell ändern."
15,HEIMAT,Die Heimat,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme zu,"Das Ziel der ""Klimaneutralität"" ist weltfremd, ideologisch aufgeladen und verkennt zahlreiche komplexe Zusammenhänge, auf die der Mensch keinen Einfluss hat. Die Klima-Ideologie ist in den letzten Jahren zu einer Art Ersatz-Religion geworden, abweichende Meinungen werden erbittert bekämpft. Statt die Natur wirklich vor Ort zu schützen, verrennt man sich in unrealistischen Hirngespinsten."
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme zu,"Prognosen bis zum Jahr 2050 zeigen einen weiterhin kontinuierlichen Anstieg der CO2-Emissionen weltweit. Der Begriff ""Klimaneutralität"" ist irreführend und bedarf einer zwingenden wissenschaftlichen Kommentierung und Einordnung frei von ideologischen Zielvorgaben. Eine sogenannte ""Treibhausgasneutralität"" bis 2045 ist mit der Änderung des Klimaschutzgesetzes in Deutschland ja gesetzlich verankert."
17,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",neutral,"Die Partei für schulmedizinische Verjüngungsforschung ist eine Ein-Themen-Partei, deren einziges Ziel es ist, die Entwicklung wirksamer Medizin gegen Alterskrankheiten durch wesentlich mehr staatliche Investitionen zu beschleunigen. Mehr als 100.000 Menschen sterben täglich an den Folgen des Alterns. Mit zukünftiger Medizin werden Menschen durch Verjüngung wahrscheinlich nicht mehr an Alterskrankheiten oder hohem Alter sterben und tausende Jahre gesund leben können."
18,BIG,Bündnis für Innovation & Gerechtigkeit,14,Verwerfen der Klimaziele,"Die EU soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,"1. Der Klimawandel stellt eine existenzielle Bedrohung dar, die sofortiges Handeln erfordert. Die Folgen des Klimawandels, wie Extremwetterereignisse und der Anstieg des Meeresspiegels, werden bereits spürbar und werden sich ohne entschlossene Maßnahmen weiter verschlimmern. 2. Die EU hat sich international dazu verpflichtet, die Treibhausgasemissionen zu reduzieren und das Pariser Abkommen einzuhalten."
